Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
rna-XM_018321402.2	-	AA6(1-190)	-	-	N	1
rna-XM_018321428.2	-	GT20(221-648)	-	-	N	1
rna-XM_018321447.2	-	GH93(2-255)	-	-	N	1
rna-XM_018321490.2	-	AA1(49-232)+AA1(308-591)	-	-	Y(1-22)	1
rna-XM_018321504.2	-	GH18(32-325)	-	-	N	1
rna-XM_018321524.2	-	GT2(242-404)	-	-	N	1
rna-XM_018321566.1	-	GH76(37-405)	-	-	Y(1-22)	1
rna-XM_018321612.2	-	AA7(62-275)	-	-	N	1
rna-XM_018321614.2	-	GH5_15(81-386)	-	-	Y(1-26)	1
rna-XM_018321617.2	-	GT8(11-293)	-	-	N	1
rna-XM_018321720.2	-	GH20(186-530)	-	-	Y(1-21)	1
rna-XM_018321759.1	-	GH15(56-457)+CBM20(490-579)	-	-	Y(1-21)	1
rna-XM_018321802.1	-	GH18(495-844)	-	-	N	1
rna-XM_018321901.2	-	GT57(17-493)	-	-	N	1
rna-XM_018321989.1	-	GH13_8(224-546)	-	-	N	1
rna-XM_018322068.2	-	AA3_2(22-643)	-	-	Y(1-18)	1
rna-XM_018322101.1	-	GH5_24(169-481)	-	-	N	1
rna-XM_018322200.2	-	CE4(67-197)	-	-	N	1
rna-XM_018322216.2	-	GH18(21-400)	-	-	N	1
rna-XM_018322280.2	-	AA1(202-695)	-	-	N	1
rna-XM_018322337.2	-	AA5(545-1048)	-	-	N	1
rna-XM_018322398.2	-	AA7(55-267)	-	-	Y(1-30)	1
rna-XM_018322419.2	-	GH38(283-541)	-	-	N	1
rna-XM_018322443.2	-	GT62(72-335)	-	-	Y(1-36)	1
rna-XM_018322462.2	-	GH16_18(73-229)	-	-	Y(1-28)	1
rna-XM_018322480.2	-	GT34(154-418)	-	-	N	1
rna-XM_018322482.2	-	GH16_1(74-301)	-	-	Y(1-23)	1
rna-XM_018322517.2	-	AA3_1(199-720)	-	-	N	1
rna-XM_018322524.1	-	GT22(5-397)	-	-	N	1
rna-XM_018322655.2	-	GH24(29-170)	-	-	Y(1-23)	1
rna-XM_018322666.2	-	GT90(337-604)	-	-	N	1
rna-XM_018322718.2	-	GH1(3-469)	-	-	N	1
rna-XM_018322740.2	-	CE3(162-399)	-	-	N	1
rna-XM_018322791.2	-	GH3(125-372)	-	-	N	1
rna-XM_018322793.2	-	GH2(5-719)	-	-	N	1
rna-XM_018322863.2	-	GH20(198-527)	-	-	Y(1-23)	1
rna-XM_018322864.2	-	CE1(23-281)	-	-	N	1
rna-XM_018322882.2	-	GH16_22(92-329)	-	-	Y(1-23)	1
rna-XM_018322926.2	-	GH31_15(193-636)	-	-	N	1
rna-XM_018322944.2	-	AA7(114-564)	-	-	Y(1-22)	1
rna-XM_018323014.2	-	GH55_2(40-780)	-	-	Y(1-27)	1
rna-XM_018323021.2	-	GH3(96-317)	-	-	Y(1-24)	1
rna-XM_018323039.2	-	AA7(27-209)	-	-	N	1
rna-XM_018323066.2	-	GT2(508-716)	-	-	N	1
rna-XM_018323069.2	-	GH16_4(152-474)	-	-	N	1
rna-XM_018323074.2	-	GH76(35-400)	-	-	Y(1-28)	1
rna-XM_018323080.2	-	GH16_18(71-229)	-	-	Y(1-21)	1
rna-XM_018323096.2	-	AA7(57-260)	-	-	Y(1-34)	1
rna-XM_018323103.2	-	GT32(117-200)	-	-	Y(1-27)	1
rna-XM_018323118.1	-	GH5_5(54-318)	-	-	N	1
rna-XM_018323156.2	-	AA1(266-457)+AA1(566-821)	-	-	N	1
rna-XM_018323174.2	-	GH184(108-232)	-	-	Y(1-19)	1
rna-XM_018323198.2	-	AA1_3(67-386)	-	-	N	1
rna-XM_018323227.2	-	GT90(555-848)	-	-	N	1
rna-XM_018323298.2	-	GH18(40-288)	-	-	Y(1-21)	1
rna-XM_018323308.2	-	GH16_23(88-269)	-	-	Y(1-19)	1
rna-XM_018323309.2	-	GH64(3-377)	-	-	N	1
rna-XM_018323396.2	-	AA7(79-280)	-	-	Y(1-20)	1
rna-XM_018323408.2	-	GT2(118-259)	-	-	N	1
rna-XM_018323416.2	-	AA9(41-201)	-	-	Y(1-16)	1
rna-XM_018323449.2	-	AA2(98-341)	-	-	Y(1-21)	1
rna-XM_018323471.2	-	GT22(34-465)	-	-	N	1
rna-XM_018323473.2	-	PL20(28-261)	-	-	Y(1-25)	1
rna-XM_018323489.2	-	GH88(94-503)	-	-	N	1
rna-XM_018323492.2	-	GH2(61-495)	-	-	Y(1-30)	1
rna-XM_018323586.2	-	GH5_27(51-395)	-	-	Y(1-24)	1
rna-XM_018323601.2	-	GT17(71-361)	-	-	N	1
rna-XM_018323606.2	-	GT59(68-394)	-	-	N	1
rna-XM_018323614.2	-	GT15(119-389)	-	-	N	1
rna-XM_018323622.2	-	GT58(34-398)	-	-	N	1
rna-XM_018323673.2	-	GH13_40(43-404)	-	-	N	1
rna-XM_018323727.1	-	GH18(39-391)	-	-	Y(1-23)	1
rna-XM_018323797.1	-	GT4(356-517)	-	-	N	1
rna-XM_018323893.2	-	GH72(16-331)	-	-	Y(1-18)	1
rna-XM_018323983.2	-	AA1_2(41-376)	-	-	Y(1-20)	1
rna-XM_018324053.1	-	GH15(74-485)+CBM20(567-658)	-	-	N	1
rna-XM_018324093.1	-	GH128(101-307)	-	-	N	1
rna-XM_018324097.1	-	GH179(42-217)	-	-	N	1
rna-XM_018324173.2	-	AA11(18-214)	-	-	Y(1-30)	1
rna-XM_018324237.2	-	GT4(217-349)	-	-	N	1
rna-XM_018324243.2	-	GH72(17-299)	-	-	N	1
rna-XM_018324298.2	-	GT39(66-304)	-	-	N	1
rna-XM_018324342.2	-	GH188(25-160)	-	-	Y(1-25)	1
rna-XM_018324348.2	-	GH75(6-229)	-	-	N	1
rna-XM_018324365.2	-	PL38(79-360)	-	-	N	1
rna-XM_018324404.2	-	AA11(145-289)	-	-	N	1
rna-XM_018324412.2	-	GH31_13(282-760)	-	-	Y(1-24)	1
rna-XM_018324421.2	-	AA7(30-467)	-	-	N	1
rna-XM_018324424.2	-	GH30_5(24-503)	-	-	Y(1-22)	1
rna-XM_018324455.2	-	GH79(27-458)	-	-	Y(1-18)	1
rna-XM_018324457.2	-	PL7_4(35-247)	-	-	N	1
rna-XM_018324478.2	-	GT4(242-428)	-	-	N	1
rna-XM_018324480.2	-	AA3_2(9-575)	-	-	N	1
rna-XM_018324485.2	-	GH18(31-295)	-	-	Y(1-24)	1
rna-XM_018324493.2	-	GT32(119-200)	-	-	N	1
rna-XM_018324558.2	-	AA7(17-249)	-	-	N	1
rna-XM_018324616.2	-	GH184(99-223)	-	-	N	1
rna-XM_018324659.1	-	AA7(55-256)	-	-	Y(1-19)	1
rna-XM_018324661.1	-	GH125(86-496)	-	-	N	1
rna-XM_018324670.2	-	GH55_2(520-1276)	-	-	N	1
rna-XM_018324675.2	-	GH76(31-397)	-	-	Y(1-20)	1
rna-XM_018324682.2	-	GH18(41-364)	-	-	Y(1-24)	1
rna-XM_018324695.2	-	GH79(40-472)	-	-	Y(1-47)	1
rna-XM_018324698.2	-	GH18(499-838)	-	-	Y(1-20)	1
rna-XM_018324716.2	-	AA3_3(12-613)	-	-	N	1
rna-XM_018324836.2	-	GH3(77-290)	-	-	Y(1-22)	1
rna-XM_018324885.1	-	GT15(76-353)	-	-	N	1
rna-XM_018324939.2	-	AA2(63-264)	-	-	Y(1-22)	1
rna-XM_018324974.2	-	GH16_4(119-452)	-	-	N	1
rna-XM_018324977.2	-	GT2(418-630)	-	-	N	1
rna-XM_018325030.2	-	GT3(20-658)	-	-	N	1
rna-XM_018325103.2	-	GH76(1-332)	-	-	N	1
rna-XM_018325133.2	-	AA11(18-217)	-	-	N	1
rna-XM_018325177.2	-	GH16_1(124-357)	-	-	N	1
rna-XM_018325267.2	-	GH63(587-799)	-	-	Y(1-22)	1
rna-XM_018325295.2	-	GT64(84-328)	-	-	Y(1-39)	1
rna-XM_018325296.2	-	GT32(105-181)	-	-	N	1
rna-XM_018325301.2	-	GH31_1(373-820)	-	-	Y(1-30)	1
rna-XM_018325305.2	-	GH18(22-186)	-	-	N	1
rna-XM_018325342.2	-	GH25(34-215)	-	-	Y(1-21)	1
rna-XM_018325352.2	-	GT21(51-364)	-	-	N	1
rna-XM_018325419.2	-	CE3(7-198)	-	-	N	1
rna-XM_018325423.2	-	GH29(320-689)	-	-	N	1
rna-XM_018325430.2	-	CE4(45-149)	-	-	N	1
rna-XM_018325451.2	-	AA1(50-589)	-	-	Y(1-29)	1
rna-XM_018325486.2	-	GH25(25-206)	-	-	Y(1-20)	1
rna-XM_018325487.2	-	AA7(488-920)	-	-	N	1
rna-XM_018325491.2	-	GH76(27-407)	-	-	Y(1-22)	1
rna-XM_018325531.2	-	GT20(17-552)	-	-	N	1
rna-XM_018325549.2	-	AA3_2(5-598)	-	-	N	1
rna-XM_018325554.2	-	GH55_2(143-885)	-	-	Y(1-21)	1
rna-XM_018325578.2	-	GH72(32-331)	-	-	Y(1-27)	1
rna-XM_018325589.2	-	GT62(100-362)	-	-	N	1
rna-XM_018325626.1	-	GT2(223-391)+GT2(368-587)	-	-	N	1
rna-XM_018325639.2	-	GH18(33-280)	-	-	N	1
rna-XM_018325673.1	-	GH24(26-168)	-	-	Y(1-22)	1
rna-XM_018325834.2	-	GH16_1(63-300)	-	-	Y(1-22)	1
rna-XM_018325848.1	-	GT4(250-405)	-	-	N	1
rna-XM_018325852.1	-	GH75(10-255)	-	-	Y(1-21)	1
rna-XM_018325870.2	-	GH2(16-558)	-	-	N	1
rna-XM_018325935.1	-	GH18(28-276)	-	-	Y(1-22)	1
rna-XM_018325937.1	-	GH32(71-380)	-	-	Y(1-22)	1
rna-XM_018325939.1	-	GT2(234-396)+GT2(374-585)	-	-	N	1
rna-XM_018325956.1	-	GH125(89-524)	-	-	Y(1-26)	1
rna-XM_018326013.1	-	AA6(4-200)	-	-	N	1
rna-XM_018326023.1	-	GT90(576-843)	-	-	N	1
rna-XM_018326045.1	-	GT1(251-582)	-	-	N	1
rna-XM_018326155.2	-	GH55(31-759)	-	-	Y(1-28)	1
rna-XM_018326279.2	-	GT71(146-417)	-	-	N	1
rna-XM_018326293.1	-	GH28(80-431)	-	-	Y(1-21)	1
rna-XM_018326307.2	-	GT90(315-596)	-	-	N	1
rna-XM_018326345.2	-	GH47(100-589)	-	-	Y(1-27)	1
rna-XM_018326349.2	-	GH17(62-293)	-	-	N	1
rna-XM_018326372.1	-	GH16_3(31-283)	-	-	Y(1-21)	1
rna-XM_018326377.2	-	PL8_4(381-622)	-	-	N	1
rna-XM_018326420.2	-	CBM67(134-305)+GH78(328-853)	-	-	N	1
rna-XM_018326424.1	-	GH128(41-278)	-	-	Y(1-20)	1
rna-XM_018326436.2	-	GH47(106-575)	-	-	N	1
rna-XM_018326473.2	-	GH3(97-311)	-	-	Y(1-27)	1
rna-XM_018326488.2	-	AA7(60-277)	-	-	Y(1-19)	1
rna-XM_018326542.2	-	GH37(143-702)	-	-	N	1
rna-XM_018326572.2	-	GT90(317-589)	-	-	N	1
rna-XM_018326625.2	-	GH114(105-303)	-	-	N	1
rna-XM_018326633.2	-	GH43_33(21-453)	-	-	N	1
rna-XM_018326645.2	-	GH2(42-708)	-	-	Y(1-26)	1
rna-XM_018326659.1	-	GH54(28-345)+CBM42(363-502)	-	-	N	1
rna-XM_018326681.2	-	GH71(46-436)+CBM24(502-581)	-	-	Y(1-26)	1
rna-XM_018326701.2	-	GH2(6-725)	-	-	N	1
rna-XM_018326760.1	-	GH3(34-245)	-	-	N	1
rna-XM_018326768.1	-	GH31_1(246-802)	-	-	N	1
rna-XM_018326801.2	-	GH12(90-233)	-	-	N	1
rna-XM_018326805.2	-	GT4(439-606)	-	-	N	1
rna-XM_018326815.1	-	GT32(107-185)	-	-	N	1
rna-XM_018326823.2	-	AA1(104-622)	-	-	N	1
rna-XM_018326825.2	-	AA7(37-223)	-	-	N	1
rna-XM_018326840.1	-	GH29(151-510)	-	-	Y(1-23)	1
rna-XM_018326842.2	-	GH115(22-648)	-	-	N	1
rna-XM_018326876.2	-	GT2(75-311)	-	-	N	1
rna-XM_018326901.2	-	GH47(17-558)	-	-	N	1
rna-XM_018326971.1	-	GH33(60-386)	-	-	Y(1-26)	1
rna-XM_018326975.2	-	GT90(561-824)	-	-	N	1
rna-XM_018327003.2	-	GH2(2-749)	-	-	N	1
rna-XM_018327040.1	-	GH76(50-469)	-	-	Y(1-23)	1
rna-XM_018327065.2	-	GT61(117-234)	-	-	N	1
rna-XM_018327068.2	-	AA3_2(13-578)	-	-	N	1
rna-XM_018327091.2	-	GT50(180-457)	-	-	N	1
rna-XM_018327150.2	-	AA7(95-324)	-	-	N	1
rna-XM_018327151.2	-	GH29(39-365)	-	-	Y(1-22)	1
rna-XM_018327212.2	-	GT1(124-521)	-	-	N	1
rna-XM_018327234.2	-	GH54(28-341)+CBM42(359-498)	-	-	Y(1-25)	1
rna-XM_018327261.2	-	GH20(175-548)	-	-	Y(1-26)	1
rna-XM_018327280.1	-	AA11(38-213)	-	-	N	1
rna-XM_018327296.2	-	GH27(127-410)	-	-	N	1
rna-XM_018327334.1	-	AA14(5-269)	-	-	N	1
rna-XM_018327338.2	-	GH172(105-366)	-	-	N	1
rna-XM_018327346.2	-	GH84(184-493)	-	-	Y(1-20)	1
rna-XM_018327374.2	-	GT20(164-618)	-	-	N	1
rna-XM_018327408.2	-	GH75(10-231)	-	-	N	1
rna-XM_018327414.2	-	AA3_3(9-613)	-	-	N	1
rna-XM_018327415.2	-	GH72(1-304)+CBM43(356-441)	-	-	N	1
rna-XM_018327435.2	-	AA3(12-542)	-	-	N	1
rna-XM_018327490.2	-	AA7(33-220)	-	-	N	1
rna-XM_018327491.2	-	AA7(116-303)	-	-	Y(1-30)	1
rna-XM_018327499.1	-	GH17(447-713)	-	-	N	1
rna-XM_018327506.1	-	GH18(44-395)	-	-	Y(1-25)	1
rna-XM_018327518.1	-	AA3_1(29-569)	-	-	Y(1-27)	1
rna-XM_018327521.2	-	GH24(113-254)	-	-	Y(1-21)	1
rna-XM_018327524.2	-	GH75(13-253)	-	-	N	1
rna-XM_018327532.2	-	GH172(99-360)	-	-	N	1
rna-XM_018327534.2	-	GH18(3-211)	-	-	N	1
rna-XM_018327575.2	-	GH188(10-206)	-	-	N	1
rna-XM_018327601.2	-	GH79(42-434)	-	-	N	1
rna-XM_018327623.2	-	AA5_2(72-683)	-	-	Y(1-24)	1
rna-XM_018327633.2	-	AA7(127-583)	-	-	Y(1-21)	1
rna-XM_018327638.2	-	GH3(103-325)	-	-	Y(1-20)	1
rna-XM_018327695.2	-	GH65(393-748)	-	-	Y(1-23)	1
rna-XM_018327722.2	-	GH28(39-350)	-	-	Y(1-17)	1
rna-XM_018327795.2	-	GH3(34-245)	-	-	N	1
rna-XM_018327802.2	-	GH2(51-721)	-	-	Y(1-25)	1
rna-XM_018327805.2	-	GH31_2(236-720)	-	-	N	1
rna-XM_018327807.1	-	GH27(121-378)	-	-	N	1
rna-XM_018327808.1	-	GH35(38-360)	-	-	Y(1-18)	1
rna-XM_018327812.1	-	AA3_2(5-559)	-	-	N	1
rna-XM_018327884.1	-	AA7(81-279)	-	-	Y(1-20)	1
rna-XM_018327924.2	-	GH45(25-220)	-	-	Y(1-21)	1
rna-XM_018327962.2	-	GT32(5-66)	-	-	N	1
rna-XM_018327984.1	-	GH177(5-312)	-	-	N	1
rna-XM_018328095.1	-	GH18(31-271)	-	-	Y(1-27)	1
rna-XM_018328107.1	-	GT2(309-667)	-	-	N	1
rna-XM_018328113.2	-	AA9(11-236)	-	-	N	1
rna-XM_018328148.2	-	GH55_2(1-648)	-	-	N	1
rna-XM_018328149.2	-	GH128(40-196)	-	-	N	1
rna-XM_018328169.2	-	GH18(77-288)	-	-	N	1
rna-XM_018328175.2	-	GT2(11-180)	-	-	N	1
rna-XM_018328223.2	-	GH13_40(34-397)	-	-	N	1
rna-XM_018328224.2	-	GH32(23-350)	-	-	N	1
rna-XM_018328257.2	-	GH92(340-847)	-	-	Y(1-23)	1
rna-XM_018328261.1	-	GH128(40-250)	-	-	Y(1-26)	1
rna-XM_018328283.1	-	CE5(49-224)	-	-	Y(1-20)	1
rna-XM_018328308.1	-	GH105(49-388)	-	-	N	1
rna-XM_018328359.2	-	GT2(347-534)	-	-	N	1
rna-XM_018328362.1	-	GH12(177-315)	-	-	N	1
rna-XM_018328371.2	-	AA3(67-635)	-	-	N	1
rna-XM_018328385.2	-	GH92(269-777)	-	-	Y(1-25)	1
rna-XM_018328386.2	-	GH2(42-798)	-	-	Y(1-22)	1
rna-XM_018328405.2	-	GT61(117-234)	-	-	N	1
rna-XM_018328604.2	-	GH16_18(69-224)	-	-	Y(1-21)	1
rna-XM_018328608.2	-	GH5_31(43-323)	-	-	Y(1-34)	1
rna-XM_018328609.1	-	GH31_3(259-698)	-	-	N	1
rna-XM_018328620.2	-	GH18(20-265)	-	-	N	1
rna-XM_018328646.2	-	GT20(13-475)	-	-	N	1
rna-XM_018328675.2	-	GH18(5-341)	-	-	N	1
rna-XM_018328676.2	-	GH55_2(120-870)+CBM66(1310-1463)	-	-	N	1
rna-XM_018328845.2	-	GH136(8-463)	-	-	N	1
rna-XM_065599520.1	-	GT71(20-234)	-	-	N	1
rna-XM_065599557.1	-	GH18(482-831)	-	-	Y(1-30)	1
rna-XM_065599658.1	-	CE4(78-209)	-	-	N	1
rna-XM_065599784.1	-	GT8(9-221)	-	-	N	1
rna-XM_065599826.1	-	GH20(121-442)	-	-	Y(1-53)	1
rna-XM_065599870.1	-	GH152(98-304)	-	-	N	1
rna-XM_065599890.1	-	CE4(31-156)	-	-	N	1
rna-XM_065599893.1	-	AA7(31-194)	-	-	N	1
rna-XM_065599897.1	-	AA7(32-454)	-	-	N	1
rna-XM_065599899.1	-	CBM21(248-354)	-	-	N	1
rna-XM_065599904.1	-	AA1(118-286)	-	-	N	1
rna-XM_065599905.1	-	GH5_41(108-382)	-	-	N	1
rna-XM_065599908.1	-	GH105(48-309)	-	-	Y(1-33)	1
rna-XM_065599909.1	-	AA7(3-330)	-	-	N	1
rna-XM_065599946.1	-	GT71(20-234)	-	-	N	1
rna-XM_065600027.1	-	AA8(31-177)	-	-	Y(1-23)	1
rna-XM_065600036.1	-	CE4(19-123)	-	-	N	1
rna-XM_065600042.1	-	GT66(21-669)	-	-	N	1
rna-XM_065600196.1	-	GH18(21-269)	-	-	N	1
rna-XM_065600244.1	-	GH51_1(15-482)	-	-	N	1
rna-XM_065600277.1	-	GT1(183-480)	-	-	N	1
rna-XM_065600281.1	-	GH154(14-392)	-	-	N	1
rna-XM_065600286.1	-	GH13_5(37-380)	-	-	N	1
rna-XM_065600300.1	-	GT48(831-1414)	-	-	N	1
rna-XM_065600308.1	-	GT2(120-384)	-	-	N	1
rna-XM_065600316.1	-	CBM21(110-219)	-	-	N	1
rna-XM_065600343.1	-	GT90(582-810)	-	-	N	1
rna-XM_065600349.1	-	GT1(951-1366)	-	-	N	1
rna-XM_065600352.1	-	GH79(44-481)	-	-	Y(1-19)	1
rna-XM_065600449.1	-	GT61(26-143)	-	-	N	1
rna-XM_065600476.1	-	AA7(23-215)	-	-	N	1
rna-XM_065600507.1	-	AA4(135-318)	-	-	N	1
rna-XM_065600544.1	-	GH18(21-332)	-	-	N	1
rna-XM_065600567.1	-	GT62(84-347)	-	-	N	1
rna-XM_065600648.1	-	GH3(88-318)	-	-	Y(1-28)	1
rna-XM_065600693.1	-	GH136(28-497)	-	-	N	1
rna-XM_065600701.1	-	GH30_3(69-489)	-	-	N	1
rna-XM_065600767.1	-	CE16(31-330)	-	-	Y(1-16)	1
