HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT1.hmm	382	rna-XM_018318342.2	1179	5.1e-51	89	369	361	670	0.732984293194
GH28.hmm	325	rna-XM_018318361.2	385	1.1e-68	5	309	40	346	0.935384615385
GT22.hmm	389	rna-XM_018318378.1	608	6.9e-104	5	388	20	483	0.984575835476
GH47.hmm	446	rna-XM_018318418.2	567	4e-158	1	446	103	565	0.997757847534
GT57.hmm	481	rna-XM_018318461.2	594	8.5e-91	3	229	67	298	0.469854469854
GT57.hmm	481	rna-XM_018318461.2	594	2.7e-57	226	480	339	572	0.528066528067
GH37.hmm	491	rna-XM_018318488.2	696	2.6e-153	2	489	53	644	0.991853360489
GT17.hmm	284	rna-XM_018318490.2	380	1e-71	4	276	71	358	0.957746478873
GH5_5.hmm	282	rna-XM_018318597.1	421	3.3e-86	1	281	23	315	0.992907801418
AA7.hmm	458	rna-XM_018318604.2	497	2.5e-51	9	209	49	264	0.436681222707
AA7.hmm	458	rna-XM_018318605.1	501	7.8e-50	9	453	67	492	0.96943231441
GH142.hmm	479	rna-XM_018318610.2	822	1.1e-182	11	476	27	505	0.970772442589
CBM13.hmm	188	rna-XM_018318610.2	822	5e-22	6	134	678	813	0.68085106383
CE4.hmm	130	rna-XM_018318650.2	496	4.1e-31	9	125	138	265	0.892307692308
GT1.hmm	382	rna-XM_018318689.2	455	1e-28	125	381	155	454	0.670157068063
AA6.hmm	195	rna-XM_018318695.2	204	1.4e-84	1	195	4	201	0.994871794872
GH13_25.hmm	153	rna-XM_018318709.2	1564	3.9e-61	2	153	171	318	0.986928104575
GH13_25.hmm	153	rna-XM_018318709.2	1564	3.7e-27	3	152	508	726	0.97385620915
GH133.hmm	372	rna-XM_018318709.2	1564	2.5e-154	5	371	1088	1547	0.983870967742
GH171.hmm	355	rna-XM_018318742.2	431	2.2e-115	3	355	43	431	0.991549295775
GH105.hmm	332	rna-XM_018318759.2	372	2.6e-105	9	332	48	369	0.972891566265
GH188.hmm	259	rna-XM_018318820.2	362	2.2e-19	3	148	8	153	0.559845559846
GH36.hmm	688	rna-XM_018318845.2	756	2.8e-240	2	687	42	738	0.995639534884
GT90.hmm	250	rna-XM_018318920.2	690	1.3e-72	4	248	374	658	0.976
GH184.hmm	123	rna-XM_018318928.2	180	3.6e-43	1	123	47	171	0.991869918699
GH16_18.hmm	158	rna-XM_018318939.2	340	6.6e-46	2	158	79	235	0.987341772152
GH30_3.hmm	417	rna-XM_018318972.1	479	2.3e-114	10	416	60	475	0.973621103118
GH64.hmm	367	rna-XM_018318975.1	452	1.5e-97	3	367	74	448	0.991825613079
GH43_11.hmm	292	rna-XM_018318992.2	548	2.8e-148	1	292	4	295	0.996575342466
CBM91.hmm	200	rna-XM_018318992.2	548	5.5e-46	4	199	322	539	0.975
GH24.hmm	137	rna-XM_018318998.2	188	9.5e-35	5	137	32	170	0.963503649635
GH47.hmm	446	rna-XM_018319041.2	980	1.4e-167	3	445	219	979	0.991031390135
GT1.hmm	382	rna-XM_018319085.2	429	3e-40	3	382	7	423	0.992146596859
GH43_26.hmm	294	rna-XM_018319130.2	370	1.8e-76	8	283	10	302	0.93537414966
GH18.hmm	296	rna-XM_018319155.2	400	8.6e-82	3	286	9	361	0.956081081081
GH5_12.hmm	539	rna-XM_018319263.2	772	2.8e-219	1	539	15	548	0.99814471243
AA7.hmm	458	rna-XM_018319288.1	536	5.3e-60	14	454	100	521	0.960698689956
GT48.hmm	739	rna-XM_018319413.2	1946	0	1	733	857	1636	0.990527740189
GH17.hmm	311	rna-XM_018319415.2	460	9.2e-27	8	300	207	454	0.938906752412
GT24.hmm	248	rna-XM_018319419.2	1474	9.5e-135	1	248	1166	1413	0.995967741935
GH3.hmm	216	rna-XM_018319501.2	374	3e-40	11	215	107	328	0.944444444444
GH16_19.hmm	174	rna-XM_018319538.1	451	1.9e-79	4	174	101	270	0.977011494253
GT15.hmm	273	rna-XM_018319546.2	505	1.3e-125	1	272	120	423	0.992673992674
GH177.hmm	347	rna-XM_018319583.2	356	4.1e-32	1	291	5	278	0.835734870317
GH1.hmm	429	rna-XM_018319610.2	484	1.2e-158	3	427	5	477	0.988344988345
GH162.hmm	484	rna-XM_018319612.1	525	2.5e-208	2	484	34	524	0.995867768595
GH125.hmm	402	rna-XM_018319818.2	519	2.8e-151	1	402	74	503	0.997512437811
CE9.hmm	373	rna-XM_018319843.2	437	1.9e-114	1	364	18	410	0.973190348525
GH3.hmm	216	rna-XM_018319844.2	928	1.3e-48	9	215	82	307	0.953703703704
GH5_9.hmm	303	rna-XM_018319856.2	586	1.2e-105	2	303	222	545	0.993399339934
GH115.hmm	697	rna-XM_018319882.2	981	4.9e-223	13	586	20	630	0.822094691535
GH81.hmm	622	rna-XM_018319886.2	713	1.2e-218	7	622	26	706	0.988745980707
GH49.hmm	549	rna-XM_018319942.2	608	6.3e-192	4	548	31	606	0.990892531876
GH146.hmm	503	rna-XM_018319955.2	788	1.4e-175	1	502	53	621	0.996023856859
GH27.hmm	229	rna-XM_018320002.2	496	2.1e-74	3	225	122	399	0.96943231441
GH27.hmm	229	rna-XM_018320004.1	456	3.8e-36	4	226	165	427	0.96943231441
AA1.hmm	358	rna-XM_018320007.2	628	6.2e-88	7	357	117	599	0.977653631285
GH172.hmm	236	rna-XM_018320068.2	687	9.2e-43	3	235	424	686	0.983050847458
GH16_3.hmm	230	rna-XM_018320084.2	350	2.9e-46	3	230	77	346	0.986956521739
GH13_40.hmm	359	rna-XM_018320106.2	598	5.9e-175	1	358	33	392	0.994428969359
GH55_2.hmm	740	rna-XM_018320117.2	773	3.8e-230	4	735	30	757	0.987837837838
GH13_1.hmm	306	rna-XM_018320118.2	457	2.3e-110	1	306	57	345	0.996732026144
GH1.hmm	429	rna-XM_018320129.2	621	3.4e-100	4	426	161	617	0.983682983683
CE5.hmm	189	rna-XM_018320189.2	316	3.2e-41	5	188	35	231	0.968253968254
AA7.hmm	458	rna-XM_018320191.2	592	1.8e-57	12	452	113	566	0.960698689956
GH132.hmm	303	rna-XM_018320311.2	428	6.2e-91	22	301	134	425	0.920792079208
GT2.hmm	527	rna-XM_018320406.1	1111	4.5e-291	3	527	551	1073	0.99430740038
AA2.hmm	255	rna-XM_018320424.1	363	3.6e-60	6	254	92	342	0.972549019608
GT22.hmm	389	rna-XM_018320455.2	586	6.4e-82	5	358	11	397	0.907455012853
GH15.hmm	361	rna-XM_018320609.2	681	1.9e-76	2	360	290	667	0.991689750693
GH18.hmm	296	rna-XM_018320617.2	597	5.9e-75	4	288	211	565	0.959459459459
GT2.hmm	197	rna-XM_018320666.2	523	2.3e-22	1	182	138	410	0.918781725888
GH47.hmm	446	rna-XM_018320793.2	698	3.8e-164	1	446	171	664	0.997757847534
GT39.hmm	223	rna-XM_018320798.2	772	1.7e-70	2	223	59	303	0.991031390135
GT69.hmm	239	rna-XM_018320799.2	418	8.1e-83	1	238	66	321	0.991631799163
CE3.hmm	194	rna-XM_018320802.2	251	1.3e-59	1	193	42	234	0.989690721649
CE3.hmm	194	rna-XM_018320842.2	318	4e-39	1	193	68	268	0.989690721649
GT34.hmm	246	rna-XM_018320892.2	313	2.5e-75	2	242	66	292	0.975609756098
GT109.hmm	411	rna-XM_018320937.2	412	2e-111	7	395	3	411	0.94403892944
GH47.hmm	446	rna-XM_018320983.2	589	2e-153	2	446	116	587	0.995515695067
AA7.hmm	458	rna-XM_018321124.2	597	3.2e-34	21	204	149	347	0.399563318777
GH92.hmm	491	rna-XM_018321126.2	778	3.3e-163	4	490	253	761	0.989816700611
GH16_18.hmm	158	rna-XM_018321129.2	396	1.9e-67	2	158	69	226	0.987341772152
AA12.hmm	401	rna-XM_018321169.2	476	2.5e-167	6	401	37	436	0.985037406484
GH47.hmm	446	rna-XM_018321189.2	525	2.9e-132	1	446	48	523	0.997757847534
GT32.hmm	90	rna-XM_018321280.2	351	2.1e-16	5	87	102	179	0.911111111111
GH2.hmm	752	rna-XM_018321281.2	1026	1.5e-204	25	751	45	908	0.965425531915
GT15.hmm	273	rna-XM_018321325.2	453	1.4e-38	3	264	47	359	0.956043956044
AA3.hmm	618	rna-XM_018321355.2	545	3.5e-89	86	404	10	537	0.514563106796
CE5.hmm	189	rna-XM_018321381.2	250	1.3e-44	1	189	79	250	0.994708994709
GT90.hmm	250	rna-XM_018321382.2	636	2.2e-65	4	248	326	622	0.976
GH3.hmm	216	rna-XM_018321387.2	539	1.3e-56	7	215	68	290	0.962962962963
AA6.hmm	195	rna-XM_018321402.2	193	2.3e-77	9	195	1	190	0.953846153846
GT20.hmm	475	rna-XM_018321428.2	665	1.8e-131	80	474	221	648	0.829473684211
GH93.hmm	307	rna-XM_018321447.2	321	2.9e-51	7	268	2	255	0.85016286645
AA1.hmm	358	rna-XM_018321490.2	614	2.6e-47	7	174	49	232	0.466480446927
AA1.hmm	358	rna-XM_018321490.2	614	3.6e-26	183	357	308	591	0.486033519553
GH18.hmm	296	rna-XM_018321504.2	338	3.2e-22	5	291	32	325	0.966216216216
GT2.hmm	163	rna-XM_018321524.2	910	3.5e-75	1	163	242	404	0.993865030675
GH76.hmm	358	rna-XM_018321566.1	462	3.7e-107	16	355	37	405	0.946927374302
AA7.hmm	458	rna-XM_018321612.2	530	6.9e-45	5	214	62	275	0.456331877729
GH5_15.hmm	300	rna-XM_018321614.2	407	6.5e-125	1	300	81	386	0.996666666667
GT8.hmm	257	rna-XM_018321617.2	331	1.6e-39	17	255	11	293	0.926070038911
GH20.hmm	337	rna-XM_018321720.2	583	1.7e-84	7	336	186	530	0.976261127596
GH15.hmm	361	rna-XM_018321759.1	589	1.2e-75	11	359	56	457	0.963988919668
CBM20.hmm	90	rna-XM_018321759.1	589	1.1e-27	2	88	490	579	0.955555555556
GH18.hmm	296	rna-XM_018321802.1	1311	2.9e-54	4	278	495	844	0.925675675676
GT57.hmm	481	rna-XM_018321901.2	501	5.9e-173	4	479	17	493	0.987525987526
GH13_8.hmm	320	rna-XM_018321989.1	707	5.4e-182	2	320	224	546	0.99375
AA3_2.hmm	568	rna-XM_018322068.2	647	7.4e-99	2	567	22	643	0.994718309859
GH5_24.hmm	314	rna-XM_018322101.1	514	7.4e-167	1	313	169	481	0.993630573248
CE4.hmm	130	rna-XM_018322200.2	268	1.5e-22	4	128	67	197	0.953846153846
GH18.hmm	296	rna-XM_018322216.2	411	5.8e-59	6	287	21	400	0.949324324324
AA1.hmm	358	rna-XM_018322280.2	739	8.1e-108	7	357	202	695	0.977653631285
AA5.hmm	1281	rna-XM_018322337.2	1055	5.2e-158	557	1038	545	1048	0.375487900078
AA7.hmm	458	rna-XM_018322398.2	485	1.6e-54	10	222	55	267	0.46288209607
GH38.hmm	269	rna-XM_018322419.2	1078	1.1e-86	2	256	283	541	0.944237918216
GT62.hmm	268	rna-XM_018322443.2	377	2.3e-104	5	267	72	335	0.977611940299
GH16_18.hmm	158	rna-XM_018322462.2	385	1.5e-66	2	158	73	229	0.987341772152
GT34.hmm	246	rna-XM_018322480.2	457	1.5e-81	2	245	154	418	0.987804878049
GH16_1.hmm	229	rna-XM_018322482.2	500	6.5e-88	9	228	74	301	0.956331877729
AA3_1.hmm	548	rna-XM_018322517.2	727	1.5e-72	12	542	199	720	0.967153284672
GT22.hmm	389	rna-XM_018322524.1	515	2.2e-80	1	386	5	397	0.98971722365
GH24.hmm	137	rna-XM_018322655.2	187	1.8e-38	2	137	29	170	0.985401459854
GT90.hmm	250	rna-XM_018322666.2	607	6.2e-80	3	245	337	604	0.968
GH1.hmm	429	rna-XM_018322718.2	476	1.5e-154	5	424	3	469	0.97668997669
CE3.hmm	194	rna-XM_018322740.2	598	1.4e-46	1	194	162	399	0.994845360825
GH3.hmm	216	rna-XM_018322791.2	631	1.4e-53	5	213	125	372	0.962962962963
GH2.hmm	752	rna-XM_018322793.2	911	5.8e-84	29	514	5	719	0.644946808511
GH20.hmm	337	rna-XM_018322863.2	741	7.3e-49	11	335	198	527	0.961424332344
CE1.hmm	227	rna-XM_018322864.2	285	3e-46	1	226	23	281	0.991189427313
GH16_22.hmm	216	rna-XM_018322882.2	408	2.8e-91	2	216	92	329	0.990740740741
GH31_15.hmm	426	rna-XM_018322926.2	841	3e-206	1	426	193	636	0.99765258216
AA7.hmm	458	rna-XM_018322944.2	586	7.7e-62	11	452	114	564	0.96288209607
GH55_2.hmm	740	rna-XM_018323014.2	783	0	3	740	40	780	0.995945945946
GH3.hmm	216	rna-XM_018323021.2	882	8.7e-60	3	216	96	317	0.986111111111
AA7.hmm	458	rna-XM_018323039.2	515	3.4e-26	5	194	27	209	0.412663755459
GT2.hmm	197	rna-XM_018323066.2	891	1.2e-53	1	192	508	716	0.969543147208
GH16_4.hmm	316	rna-XM_018323069.2	484	2.4e-114	1	315	152	474	0.993670886076
GH76.hmm	358	rna-XM_018323074.2	610	3.6e-109	10	353	35	400	0.958100558659
GH16_18.hmm	158	rna-XM_018323080.2	279	8e-55	3	158	71	229	0.981012658228
AA7.hmm	458	rna-XM_018323096.2	499	1.9e-40	3	207	57	260	0.445414847162
GT32.hmm	90	rna-XM_018323103.2	379	3e-19	4	89	117	200	0.944444444444
GH5_5.hmm	282	rna-XM_018323118.1	353	3.3e-80	21	275	54	318	0.900709219858
AA1.hmm	358	rna-XM_018323156.2	821	2.8e-51	7	177	266	457	0.474860335196
AA1.hmm	358	rna-XM_018323156.2	821	2.5e-26	182	334	566	821	0.424581005587
GH184.hmm	123	rna-XM_018323174.2	240	2.6e-38	1	123	108	232	0.991869918699
AA1_3.hmm	312	rna-XM_018323198.2	597	1.2e-123	1	308	67	386	0.983974358974
GT90.hmm	250	rna-XM_018323227.2	865	5.4e-59	3	248	555	848	0.98
GH18.hmm	296	rna-XM_018323298.2	340	1.1e-22	4	218	40	288	0.722972972973
GH16_23.hmm	187	rna-XM_018323308.2	342	1.9e-85	7	187	88	269	0.96256684492
GH64.hmm	367	rna-XM_018323309.2	380	9.8e-116	2	367	3	377	0.994550408719
AA7.hmm	458	rna-XM_018323396.2	519	1.4e-51	17	218	79	280	0.438864628821
GT2.hmm	170	rna-XM_018323408.2	440	1.8e-24	1	106	118	259	0.617647058824
AA9.hmm	220	rna-XM_018323416.2	439	2.9e-38	67	219	41	201	0.690909090909
AA2.hmm	255	rna-XM_018323449.2	394	1.1e-53	2	253	98	341	0.98431372549
GT22.hmm	389	rna-XM_018323471.2	599	2.6e-97	2	389	34	465	0.994858611825
PL20.hmm	229	rna-XM_018323473.2	262	8.9e-112	1	228	28	261	0.991266375546
GH88.hmm	329	rna-XM_018323489.2	513	4.7e-83	2	325	94	503	0.981762917933
GH2.hmm	752	rna-XM_018323492.2	623	2.5e-97	23	408	61	495	0.511968085106
GH5_27.hmm	348	rna-XM_018323586.2	500	5e-152	1	347	51	395	0.994252873563
GT17.hmm	284	rna-XM_018323601.2	376	8.7e-76	5	281	71	361	0.971830985915
GT59.hmm	404	rna-XM_018323606.2	707	8.2e-93	2	289	68	394	0.710396039604
GT15.hmm	273	rna-XM_018323614.2	442	2e-126	1	272	119	389	0.992673992674
GT58.hmm	364	rna-XM_018323622.2	434	1.5e-145	2	364	34	398	0.994505494505
GH13_40.hmm	359	rna-XM_018323673.2	641	5.4e-168	1	359	43	404	0.99721448468
GH18.hmm	296	rna-XM_018323727.1	423	1.9e-80	3	287	39	391	0.959459459459
GT4.hmm	160	rna-XM_018323797.1	555	3.4e-26	4	153	356	517	0.93125
GH72.hmm	312	rna-XM_018323893.2	482	1.4e-114	3	310	16	331	0.983974358974
AA1_2.hmm	337	rna-XM_018323983.2	628	4.1e-156	2	336	41	376	0.991097922849
GH15.hmm	361	rna-XM_018324053.1	668	7.8e-80	5	360	74	485	0.983379501385
CBM20.hmm	90	rna-XM_018324053.1	668	6e-29	1	89	567	658	0.977777777778
GH128.hmm	224	rna-XM_018324093.1	311	1.2e-59	8	223	101	307	0.959821428571
GH179.hmm	338	rna-XM_018324097.1	394	3.3e-16	13	178	42	217	0.488165680473
AA11.hmm	191	rna-XM_018324173.2	225	2.3e-67	1	188	18	214	0.979057591623
GT4.hmm	160	rna-XM_018324237.2	498	6.7e-34	6	140	217	349	0.8375
GH72.hmm	312	rna-XM_018324243.2	454	6.7e-106	3	296	17	299	0.939102564103
GT39.hmm	223	rna-XM_018324298.2	742	8.8e-74	2	223	66	304	0.991031390135
GH188.hmm	259	rna-XM_018324342.2	373	1.1e-17	12	145	25	160	0.513513513514
GH75.hmm	220	rna-XM_018324348.2	233	1.1e-80	3	219	6	229	0.981818181818
PL38.hmm	279	rna-XM_018324365.2	427	4.7e-99	1	273	79	360	0.974910394265
AA11.hmm	191	rna-XM_018324404.2	552	1.6e-39	8	156	145	289	0.774869109948
GH31_13.hmm	455	rna-XM_018324412.2	785	3.3e-172	3	453	282	760	0.989010989011
AA7.hmm	458	rna-XM_018324421.2	477	6e-36	6	454	30	467	0.978165938865
GH30_5.hmm	446	rna-XM_018324424.2	679	4.1e-149	3	445	24	503	0.991031390135
GH79.hmm	455	rna-XM_018324455.2	495	1e-62	3	424	27	458	0.925274725275
PL7_4.hmm	217	rna-XM_018324457.2	248	8.9e-96	1	217	35	247	0.995391705069
GT4.hmm	160	rna-XM_018324478.2	495	6.5e-35	8	158	242	428	0.9375
AA3_2.hmm	568	rna-XM_018324480.2	593	3.3e-149	2	568	9	575	0.996478873239
GH18.hmm	296	rna-XM_018324485.2	391	2.3e-23	3	211	31	295	0.702702702703
GT32.hmm	90	rna-XM_018324493.2	541	4.2e-18	8	87	119	200	0.877777777778
AA7.hmm	458	rna-XM_018324558.2	458	3.4e-49	7	237	17	249	0.502183406114
GH184.hmm	123	rna-XM_018324616.2	232	1.4e-42	1	123	99	223	0.991869918699
AA7.hmm	458	rna-XM_018324659.1	505	1.3e-64	7	207	55	256	0.436681222707
GH125.hmm	402	rna-XM_018324661.1	517	6.8e-127	1	402	86	496	0.997512437811
GH55_2.hmm	740	rna-XM_018324670.2	1676	1.9e-287	3	729	520	1276	0.981081081081
GH76.hmm	358	rna-XM_018324675.2	460	2.3e-104	14	353	31	397	0.946927374302
GH18.hmm	296	rna-XM_018324682.2	394	2.7e-52	23	283	41	364	0.878378378378
GH79.hmm	455	rna-XM_018324695.2	503	2.1e-47	2	428	40	472	0.936263736264
GH18.hmm	296	rna-XM_018324698.2	1237	3e-47	4	272	499	838	0.905405405405
AA3_3.hmm	590	rna-XM_018324716.2	614	9e-249	1	590	12	613	0.998305084746
GH3.hmm	216	rna-XM_018324836.2	768	2.8e-57	3	216	77	290	0.986111111111
GT15.hmm	273	rna-XM_018324885.1	395	3.4e-116	3	272	76	353	0.985347985348
AA2.hmm	255	rna-XM_018324939.2	829	1.3e-29	19	214	63	264	0.764705882353
GH16_4.hmm	316	rna-XM_018324974.2	463	8.6e-118	1	316	119	452	0.996835443038
GT2.hmm	197	rna-XM_018324977.2	798	5.3e-52	2	191	418	630	0.959390862944
GT3.hmm	637	rna-XM_018325030.2	707	2.8e-305	1	637	20	658	0.998430141287
GH76.hmm	358	rna-XM_018325103.2	388	1.8e-96	55	355	1	332	0.837988826816
AA11.hmm	191	rna-XM_018325133.2	384	2.1e-73	1	189	18	217	0.984293193717
GH16_1.hmm	229	rna-XM_018325177.2	380	2.9e-83	2	228	124	357	0.986899563319
GH63.hmm	570	rna-XM_018325267.2	812	1.3e-29	319	566	587	799	0.433333333333
GT64.hmm	248	rna-XM_018325295.2	347	5.9e-49	1	243	84	328	0.975806451613
GT32.hmm	90	rna-XM_018325296.2	382	1.8e-20	4	85	105	181	0.9
GH31_1.hmm	447	rna-XM_018325301.2	969	5.8e-167	1	446	373	820	0.995525727069
GH18.hmm	296	rna-XM_018325305.2	309	1.8e-17	48	198	22	186	0.506756756757
GH25.hmm	177	rna-XM_018325342.2	235	9.7e-50	2	174	34	215	0.971751412429
GT21.hmm	233	rna-XM_018325352.2	534	7.8e-86	1	233	51	364	0.995708154506
CE3.hmm	194	rna-XM_018325419.2	216	9.5e-55	1	192	7	198	0.984536082474
GH29.hmm	346	rna-XM_018325423.2	785	1.7e-90	29	346	320	689	0.916184971098
CE4.hmm	130	rna-XM_018325430.2	308	1.6e-19	24	127	45	149	0.792307692308
AA1.hmm	358	rna-XM_018325451.2	611	1.6e-81	7	357	50	589	0.977653631285
GH25.hmm	177	rna-XM_018325486.2	227	1.6e-53	2	174	25	206	0.971751412429
AA7.hmm	458	rna-XM_018325487.2	931	2.1e-42	4	453	488	920	0.980349344978
GH76.hmm	358	rna-XM_018325491.2	465	7.8e-109	9	355	27	407	0.966480446927
GT20.hmm	475	rna-XM_018325531.2	877	2.4e-155	9	472	17	552	0.974736842105
AA3_2.hmm	568	rna-XM_018325549.2	607	2.5e-179	2	568	5	598	0.996478873239
GH55_2.hmm	740	rna-XM_018325554.2	917	2.3e-268	4	729	143	885	0.97972972973
GH72.hmm	312	rna-XM_018325578.2	452	2.3e-123	3	310	32	331	0.983974358974
GT62.hmm	268	rna-XM_018325589.2	404	3.8e-108	3	267	100	362	0.985074626866
GT2.hmm	163	rna-XM_018325626.1	916	2.8e-69	1	163	223	391	0.993865030675
GT2.hmm	527	rna-XM_018325626.1	916	9.7e-23	203	407	368	587	0.387096774194
GH18.hmm	296	rna-XM_018325639.2	320	6.9e-24	4	222	33	280	0.736486486486
GH24.hmm	137	rna-XM_018325673.1	185	2e-40	1	137	26	168	0.992700729927
GH16_1.hmm	229	rna-XM_018325834.2	825	3e-66	2	228	63	300	0.986899563319
GT4.hmm	160	rna-XM_018325848.1	525	1.5e-37	7	159	250	405	0.95
GH75.hmm	220	rna-XM_018325852.1	339	8.8e-83	4	220	10	255	0.981818181818
GH2.hmm	752	rna-XM_018325870.2	692	2e-95	25	411	16	558	0.51329787234
GH18.hmm	296	rna-XM_018325935.1	324	4e-26	2	201	28	276	0.672297297297
GH32.hmm	293	rna-XM_018325937.1	598	3.6e-87	1	285	71	380	0.969283276451
GT2.hmm	163	rna-XM_018325939.1	921	8e-79	1	163	234	396	0.993865030675
GT2.hmm	527	rna-XM_018325939.1	921	5.3e-21	204	410	374	585	0.390891840607
GH125.hmm	402	rna-XM_018325956.1	544	1.3e-158	1	402	89	524	0.997512437811
AA6.hmm	195	rna-XM_018326013.1	204	4.8e-86	1	194	4	200	0.989743589744
GT90.hmm	250	rna-XM_018326023.1	867	2e-44	18	248	576	843	0.92
GT1.hmm	382	rna-XM_018326045.1	1305	2.1e-59	71	371	251	582	0.785340314136
GH55.hmm	740	rna-XM_018326155.2	761	1.1e-219	7	739	31	759	0.989189189189
GT71.hmm	264	rna-XM_018326279.2	504	9.6e-48	1	264	146	417	0.996212121212
GH28.hmm	325	rna-XM_018326293.1	440	6.4e-59	14	322	80	431	0.947692307692
GT90.hmm	250	rna-XM_018326307.2	606	9.5e-66	13	248	315	596	0.94
GH47.hmm	446	rna-XM_018326345.2	592	5.7e-165	1	446	100	589	0.997757847534
GH17.hmm	311	rna-XM_018326349.2	410	1.9e-18	24	285	62	293	0.83922829582
GH16_3.hmm	230	rna-XM_018326372.1	285	1.8e-56	1	230	31	283	0.995652173913
PL8_4.hmm	244	rna-XM_018326377.2	758	3.6e-80	2	244	381	622	0.991803278689
CBM67.hmm	176	rna-XM_018326420.2	876	4.8e-35	12	171	134	305	0.903409090909
GH78.hmm	504	rna-XM_018326420.2	876	6.8e-164	1	504	328	853	0.998015873016
GH128.hmm	224	rna-XM_018326424.1	316	9e-66	4	224	41	278	0.982142857143
GH47.hmm	446	rna-XM_018326436.2	840	2.7e-155	1	446	106	575	0.997757847534
GH3.hmm	216	rna-XM_018326473.2	799	1.6e-57	4	216	97	311	0.981481481481
AA7.hmm	458	rna-XM_018326488.2	525	1.2e-69	10	227	60	277	0.473799126638
GH37.hmm	491	rna-XM_018326542.2	738	1.3e-151	2	490	143	702	0.993890020367
GT90.hmm	250	rna-XM_018326572.2	606	6.8e-63	11	247	317	589	0.944
GH114.hmm	190	rna-XM_018326625.2	935	2.2e-70	1	190	105	303	0.994736842105
GH43_33.hmm	313	rna-XM_018326633.2	576	1.8e-123	2	312	21	453	0.990415335463
GH2.hmm	752	rna-XM_018326645.2	890	1.1e-61	35	503	42	708	0.622340425532
GH54.hmm	316	rna-XM_018326659.1	508	5.1e-149	1	315	28	345	0.993670886076
CBM42.hmm	136	rna-XM_018326659.1	508	1.6e-54	2	135	363	502	0.977941176471
GH71.hmm	375	rna-XM_018326681.2	584	1.6e-140	1	374	46	436	0.994666666667
CBM24.hmm	76	rna-XM_018326681.2	584	2.7e-28	1	76	502	581	0.986842105263
GH2.hmm	752	rna-XM_018326701.2	834	1.4e-101	28	548	6	725	0.691489361702
GH3.hmm	216	rna-XM_018326760.1	856	1.1e-60	5	216	34	245	0.976851851852
